set_id,year,t1,points,descr
1,1993,Arsenal,40,27
2,1993,Aston Villa,34,26
3,1993,Blackburn,42,31
4,1993,Chelsea,18,14
5,1993,Coventry,27,23
6,1993,Everton,25,20
7,1993,Ipswich,30,21
8,1993,Leeds,41,38
9,1993,Liverpool,33,34
10,1993,Man City,20,20
11,1993,Man United,56,49
12,1993,Newcastle,36,38
13,1993,Norwich,34,34
14,1993,Oldham,19,18
15,1993,QPR,35,37
16,1993,Sheffield United,18,18
17,1993,Sheffield Weds,31,42
18,1993,Southampton,18,23
19,1993,Swindon,15,22
20,1993,Tottenham,30,33
21,1993,West Ham,30,20
22,1993,Wimbledon,29,25
23,1994,Arsenal,59,52
24,1994,Aston Villa,44,47
25,1994,Blackburn,91,77
26,1994,Chelsea,62,64
27,1994,Coventry,54,41
28,1994,Crystal Palace,23,15
29,1994,Everton,41,42
30,1994,Ipswich,26,35
31,1994,Leeds,61,56
32,1994,Leicester,15,21
33,1994,Liverpool,69,65
34,1994,Man City,54,51
35,1994,Man United,82,73
36,1994,Newcastle,80,84
37,1994,Norwich,52,52
38,1994,Nott'm Forest,39,35
39,1994,Oldham,21,24
40,1994,QPR,52,59
41,1994,Sheffield United,24,24
42,1994,Sheffield Weds,63,63
43,1994,Southampton,51,59
44,1994,Swindon,15,25
45,1994,Tottenham,48,59
46,1994,West Ham,47,46
47,1994,Wimbledon,65,57
48,1995,Arsenal,57,54
49,1995,Aston Villa,59,49
50,1995,Blackburn,71,68
51,1995,Bolton,10,19
52,1995,Chelsea,54,42
53,1995,Coventry,43,50
54,1995,Crystal Palace,22,19
55,1995,Everton,57,53
56,1995,Ipswich,14,15
57,1995,Leeds,72,58
58,1995,Leicester,14,24
59,1995,Liverpool,67,61
60,1995,Man City,36,30
61,1995,Man United,83,75
62,1995,Middlesbrough,33,23
63,1995,Newcastle,78,67
64,1995,Norwich,10,16
65,1995,Nott'm Forest,72,67
66,1995,QPR,51,43
67,1995,Sheffield Weds,43,48
68,1995,Southampton,47,47
69,1995,Tottenham,64,55
70,1995,West Ham,48,46
71,1995,Wimbledon,48,51
72,1996,Arsenal,66,58
73,1996,Aston Villa,65,56
74,1996,Blackburn,47,45
75,1996,Bolton,19,20
76,1996,Chelsea,53,57
77,1996,Coventry,42,35
78,1996,Derby,23,20
79,1996,Everton,60,64
80,1996,Leeds,34,28
81,1996,Leicester,23,20
82,1996,Liverpool,78,72
83,1996,Man City,22,23
84,1996,Man United,78,75
85,1996,Middlesbrough,28,37
86,1996,Newcastle,67,61
87,1996,Nott'm Forest,38,38
88,1996,QPR,15,22
89,1996,Sheffield Weds,46,41
90,1996,Southampton,35,43
91,1996,Sunderland,23,19
92,1996,Tottenham,54,45
93,1996,West Ham,49,40
94,1996,Wimbledon,57,59
95,1997,Arsenal,65,60
96,1997,Aston Villa,53,43
97,1997,Barnsley,18,19
98,1997,Blackburn,66,63
99,1997,Bolton,21,19
100,1997,Chelsea,66,72
101,1997,Coventry,42,38
102,1997,Crystal Palace,23,20
103,1997,Derby,55,59
104,1997,Everton,34,35
105,1997,Leeds,59,42
106,1997,Leicester,52,51
107,1997,Liverpool,63,60
108,1997,Man United,84,83
109,1997,Middlesbrough,24,26
110,1997,Newcastle,60,59
111,1997,Nott'm Forest,20,13
112,1997,Sheffield Weds,52,61
113,1997,Southampton,49,47
114,1997,Sunderland,17,16
115,1997,Tottenham,38,41
116,1997,West Ham,52,49
117,1997,Wimbledon,43,37
118,1998,Arsenal,79,55
119,1998,Aston Villa,70,55
120,1998,Barnsley,17,18
121,1998,Blackburn,35,39
122,1998,Bolton,19,22
123,1998,Charlton,16,23
124,1998,Chelsea,61,56
125,1998,Coventry,46,42
126,1998,Crystal Palace,10,17
127,1998,Derby,51,38
128,1998,Everton,43,34
129,1998,Leeds,57,61
130,1998,Leicester,53,49
131,1998,Liverpool,59,68
132,1998,Man United,66,63
133,1998,Middlesbrough,30,32
134,1998,Newcastle,42,38
135,1998,Nott'm Forest,13,18
136,1998,Sheffield Weds,43,41
137,1998,Southampton,38,41
138,1998,Tottenham,51,53
139,1998,West Ham,57,52
140,1998,Wimbledon,50,40
141,1999,Arsenal,82,73
142,1999,Aston Villa,42,39
143,1999,Blackburn,17,18
144,1999,Bradford,17,15
145,1999,Charlton,20,18
146,1999,Chelsea,68,52
147,1999,Coventry,49,49
148,1999,Derby,40,37
149,1999,Everton,48,62
150,1999,Leeds,78,62
151,1999,Leicester,50,45
152,1999,Liverpool,60,63
153,1999,Man United,87,91
154,1999,Middlesbrough,48,39
155,1999,Newcastle,45,56
156,1999,Nott'm Forest,17,17
157,1999,Sheffield Weds,33,36
158,1999,Southampton,44,44
159,1999,Sunderland,38,35
160,1999,Tottenham,51,50
161,1999,Watford,14,17
162,1999,West Ham,52,44
163,1999,Wimbledon,34,44
164,2000,Arsenal,73,75
165,2000,Aston Villa,61,50
166,2000,Bradford,31,37
167,2000,Charlton,28,30
168,2000,Chelsea,62,64
169,2000,Coventry,40,41
170,2000,Derby,42,50
171,2000,Everton,44,47
172,2000,Ipswich,37,32
173,2000,Leeds,50,50
174,2000,Leicester,61,50
175,2000,Liverpool,63,57
176,2000,Man City,19,26
177,2000,Man United,95,95
178,2000,Middlesbrough,44,45
179,2000,Newcastle,60,54
180,2000,Sheffield Weds,22,22
181,2000,Southampton,54,49
182,2000,Sunderland,56,47
183,2000,Tottenham,48,52
184,2000,Watford,10,18
185,2000,West Ham,57,60
186,2000,Wimbledon,11,15
